 ISO3, Country, Year, Statistics,Temperature - (Celsius),
 AFG, Afghanistan,1931, Jan,0.18633,
 AFG, Afghanistan,1931, Feb,-2.6327,
 AFG, Afghanistan,1931, Mar,7.64379,
 AFG, Afghanistan,1931, Apr,14.2446,
 AFG, Afghanistan,1931, May,16.545,
 AFG, Afghanistan,1931, Jun,21.5451,
 AFG, Afghanistan,1931, Jul,24.2599,
 AFG, Afghanistan,1931, Aug,24.5102,
 AFG, Afghanistan,1931, Sep,19.5723,
 AFG, Afghanistan,1931, Oct,12.7591,
 AFG, Afghanistan,1931, Nov,5.60332,
 AFG, Afghanistan,1931, Dec,1.27799,
 AFG, Afghanistan,1932, Jan,0.63495,
 AFG, Afghanistan,1932, Feb,2.71495,
 AFG, Afghanistan,1932, Mar,8.15216,
 AFG, Afghanistan,1932, Apr,14.8527,
 AFG, Afghanistan,1932, May,16.8344,
 AFG, Afghanistan,1932, Jun,22.7501,
 AFG, Afghanistan,1932, Jul,25.4726,
 AFG, Afghanistan,1932, Aug,22.5658,
 AFG, Afghanistan,1932, Sep,19.0288,
 AFG, Afghanistan,1932, Oct,11.8948,
 AFG, Afghanistan,1932, Nov,5.62468,
 AFG, Afghanistan,1932, Dec,-1.4281,
 AFG, Afghanistan,1933, Jan,-3.0645,
 AFG, Afghanistan,1933, Feb,2.96393,
 AFG, Afghanistan,1933, Mar,5.4081,
 AFG, Afghanistan,1933, Apr,11.854,
 AFG, Afghanistan,1933, May,18.6674,
 AFG, Afghanistan,1933, Jun,22.8752,
 AFG, Afghanistan,1933, Jul,25.933,
 AFG, Afghanistan,1933, Aug,23.6693,
 AFG, Afghanistan,1933, Sep,18.1718,
 AFG, Afghanistan,1933, Oct,12.493,
 AFG, Afghanistan,1933, Nov,7.33607,
 AFG, Afghanistan,1933, Dec,3.55236,
 AFG, Afghanistan,1934, Jan,-4.8483,
 AFG, Afghanistan,1934, Feb,4.53424,
 AFG, Afghanistan,1934, Mar,6.77267,
 AFG, Afghanistan,1934, Apr,12.21,
 AFG, Afghanistan,1934, May,15.3134,
 AFG, Afghanistan,1934, Jun,23.1446,
 AFG, Afghanistan,1934, Jul,24.7089,
 AFG, Afghanistan,1934, Aug,24.3148,
 AFG, Afghanistan,1934, Sep,18.2132,
 AFG, Afghanistan,1934, Oct,11.8668,
 AFG, Afghanistan,1934, Nov,5.13415,
 AFG, Afghanistan,1934, Dec,2.91487,
 AFG, Afghanistan,1935, Jan,-3.1749,
 AFG, Afghanistan,1935, Feb,3.40372,
 AFG, Afghanistan,1935, Mar,7.33223,
 AFG, Afghanistan,1935, Apr,11.8209,
 AFG, Afghanistan,1935, May,17.1423,
 AFG, Afghanistan,1935, Jun,21.042,
 AFG, Afghanistan,1935, Jul,24.8838,
 AFG, Afghanistan,1935, Aug,24.2863,
 AFG, Afghanistan,1935, Sep,18.5262,
 AFG, Afghanistan,1935, Oct,12.7056,
 AFG, Afghanistan,1935, Nov,5.13568,
 AFG, Afghanistan,1935, Dec,1.69046,
 AFG, Afghanistan,1936, Jan,-1.377,
 AFG, Afghanistan,1936, Feb,3.61339,
 AFG, Afghanistan,1936, Mar,5.18336,
 AFG, Afghanistan,1936, Apr,12.2646,
 AFG, Afghanistan,1936, May,19.9217,
 AFG, Afghanistan,1936, Jun,23.7605,
 AFG, Afghanistan,1936, Jul,24.9671,
 AFG, Afghanistan,1936, Aug,23.4601,
 AFG, Afghanistan,1936, Sep,19.8333,
 AFG, Afghanistan,1936, Oct,14.7931,
 AFG, Afghanistan,1936, Nov,6.28059,
 AFG, Afghanistan,1936, Dec,0.8128,
 AFG, Afghanistan,1937, Jan,-2.2414,
 AFG, Afghanistan,1937, Feb,2.7211,
 AFG, Afghanistan,1937, Mar,4.95076,
 AFG, Afghanistan,1937, Apr,10.8898,
 AFG, Afghanistan,1937, May,18.2891,
 AFG, Afghanistan,1937, Jun,23.3773,
 AFG, Afghanistan,1937, Jul,25.4416,
 AFG, Afghanistan,1937, Aug,24.3876,
 AFG, Afghanistan,1937, Sep,19.2397,
 AFG, Afghanistan,1937, Oct,12.1497,
