id,country,month,avgtemp
4681, Kazakhstan,1,-12.5471
4682, Kazakhstan,2,-11.64
4683, Kazakhstan,3,-4.43383
4684, Kazakhstan,4,7.77726
4685, Kazakhstan,5,15.6315
4686, Kazakhstan,6,20.8742
4687, Kazakhstan,7,23.1003
4688, Kazakhstan,8,21.1484
4689, Kazakhstan,9,14.9278
4690, Kazakhstan,10,6.53153
4691, Kazakhstan,11,-2.49093
4692, Kazakhstan,12,-9.49735
4693, Equatorial Guinea,1,25.1717
4694, Equatorial Guinea,2,25.6028
4695, Equatorial Guinea,3,25.4381
4696, Equatorial Guinea,4,25.3444
4697, Equatorial Guinea,5,25.0986
4698, Equatorial Guinea,6,24.2917
4699, Equatorial Guinea,7,23.3163
4700, Equatorial Guinea,8,23.3758
4701, Equatorial Guinea,9,24.2878
4702, Equatorial Guinea,10,24.4591
4703, Equatorial Guinea,11,24.6498
4704, Equatorial Guinea,12,24.7224
4705, Turkey,1,-0.360084
4706, Turkey,2,0.967843
4707, Turkey,3,4.86937
4708, Turkey,4,10.0484
4709, Turkey,5,14.7184
4710, Turkey,6,18.8031
4711, Turkey,7,22.1747
4712, Turkey,8,22.2331
4713, Turkey,9,18.4208
4714, Turkey,10,13.1327
4715, Turkey,11,7.08343
4716, Turkey,12,1.91977
4717, Cote d'Ivoire,1,25.9729
4718, Cote d'Ivoire,2,27.8598
4719, Cote d'Ivoire,3,28.4679
4720, Cote d'Ivoire,4,28.1382
4721, Cote d'Ivoire,5,27.3215
4722, Cote d'Ivoire,6,25.9383
4723, Cote d'Ivoire,7,24.9984
4724, Cote d'Ivoire,8,24.7029
4725, Cote d'Ivoire,9,25.3726
4726, Cote d'Ivoire,10,26.0645
4727, Cote d'Ivoire,11,26.4338
4728, Cote d'Ivoire,12,25.7291
4729, Croatia,1,0.0505027
4730, Croatia,2,1.77549
4731, Croatia,3,5.83705
4732, Croatia,4,10.2093
4733, Croatia,5,14.8169
4734, Croatia,6,18.1921
4735, Croatia,7,20.3388
4736, Croatia,8,19.9722
4737, Croatia,9,16.2515
4738, Croatia,10,11.212
4739, Croatia,11,6.06964
4740, Croatia,12,1.8552
4741, Bangladesh,1,18.2593
4742, Bangladesh,2,20.555
4743, Bangladesh,3,24.9875
4744, Bangladesh,4,27.5792
4745, Bangladesh,5,28.0797
4746, Bangladesh,6,28.1447
4747, Bangladesh,7,27.9934
4748, Bangladesh,8,28.0489
4749, Bangladesh,9,28.0105
4750, Bangladesh,10,26.7488
4751, Bangladesh,11,23.0966
4752, Bangladesh,12,19.3211
4753, El Salvador,1,22.6386
4754, El Salvador,2,23.1705
4755, El Salvador,3,24.4552
4756, El Salvador,4,25.2679
4757, El Salvador,5,24.9537
4758, El Salvador,6,24.1157
4759, El Salvador,7,24.3103
4760, El Salvador,8,24.183
4761, El Salvador,9,23.7068
4762, El Salvador,10,23.4214
4763, El Salvador,11,22.655
4764, El Salvador,12,22.4065
4765, Iraq,1,8.84445
4766, Iraq,2,11.0505
4767, Iraq,3,14.9421
4768, Iraq,4,20.5809
4769, Iraq,5,26.4876
4770, Iraq,6,30.7298
4771, Iraq,7,33.2053
4772, Iraq,8,32.9997
4773, Iraq,9,29.4053
4774, Iraq,10,23.783
4775, Iraq,11,16.1114
4776, Iraq,12,10.3543
4777, Panama,1,24.829
4778, Panama,2,25.1581
4779, Panama,3,26.0085
4780, Panama,4,26.3528
4781, Panama,5,26.0122
4782, Panama,6,25.3066
4783, Panama,7,25.5632
4784, Panama,8,25.2635
4785, Panama,9,24.9441
4786, Panama,10,24.8249
4787, Panama,11,24.4816
4788, Panama,12,24.4997
4789, Romania,1,-3.29788
4790, Romania,2,-1.47972
4791, Romania,3,3.53986
4792, Romania,4,9.4298
4793, Romania,5,14.69
4794, Romania,6,18.0297
4795, Romania,7,19.9396
4796, Romania,8,19.4512
4797, Romania,9,15.3285
4798, Romania,10,9.80468
4799, Romania,11,4.13338
4800, Romania,12,-0.900576
4801, Comoros,1,26.629
4802, Comoros,2,26.5226
4803, Comoros,3,26.8077
4804, Comoros,4,26.5059
4805, Comoros,5,25.6482
4806, Comoros,6,24.1383
4807, Comoros,7,23.3887
4808, Comoros,8,23.7735
4809, Comoros,9,24.5327
4810, Comoros,10,25.7532
4811, Comoros,11,26.6902
4812, Comoros,12,26.7273
4813, Cambodia,1,24.9565
4814, Cambodia,2,26.4469
4815, Cambodia,3,27.9587
4816, Cambodia,4,29.0342
4817, Cambodia,5,28.6066
4818, Cambodia,6,27.8664
4819, Cambodia,7,27.3282
4820, Cambodia,8,27.3551
4821, Cambodia,9,27.0285
4822, Cambodia,10,26.6132
4823, Cambodia,11,25.8914
4824, Cambodia,12,24.8649
4825, Seychelles,1,27.2234
4826, Seychelles,2,27.5658
4827, Seychelles,3,28.0483
4828, Seychelles,4,28.2436
4829, Seychelles,5,27.7717
4830, Seychelles,6,26.5351
4831, Seychelles,7,25.6637
4832, Seychelles,8,25.7469
4833, Seychelles,9,26.3183
4834, Seychelles,10,26.8629
4835, Seychelles,11,27.306
4836, Seychelles,12,27.2928
4837, Haiti,1,22.3451
4838, Haiti,2,22.6462
4839, Haiti,3,23.3261
4840, Haiti,4,24.0749
4841, Haiti,5,24.8191
4842, Haiti,6,25.5982
4843, Haiti,7,25.8022
4844, Haiti,8,26.0549
4845, Haiti,9,25.8346
4846, Haiti,10,25.2471
4847, Haiti,11,24.0932
4848, Haiti,12,22.9534
4849, Cuba,1,22.6039
4850, Cuba,2,22.7668
4851, Cuba,3,23.8328
4852, Cuba,4,24.8723
4853, Cuba,5,26.0631
4854, Cuba,6,26.9763
4855, Cuba,7,27.4124
4856, Cuba,8,27.5079
4857, Cuba,9,27.1277
4858, Cuba,10,26.2376
4859, Cuba,11,24.5522
4860, Cuba,12,23.2674
4861, Lebanon,1,6.82552
4862, Lebanon,2,7.64923
4863, Lebanon,3,10.2725
4864, Lebanon,4,14.222
4865, Lebanon,5,18.2799
4866, Lebanon,6,21.653
4867, Lebanon,7,23.9428
4868, Lebanon,8,24.3901
4869, Lebanon,9,22.2069
4870, Lebanon,10,18.7277
4871, Lebanon,11,13.1134
4872, Lebanon,12,8.28934
4873, Republic of Serbia,1,-1.29761
4874, Republic of Serbia,2,0.3524
4875, Republic of Serbia,3,4.96738
4876, Republic of Serbia,4,10.3369
4877, Republic of Serbia,5,15.3247
4878, Republic of Serbia,6,18.7678
4879, Republic of Serbia,7,20.8559
4880, Republic of Serbia,8,20.654
4881, Republic of Serbia,9,16.5597
4882, Republic of Serbia,10,11.0078
4883, Republic of Serbia,11,5.48585
4884, Republic of Serbia,12,1.2012
4885, United Kingdom,1,3.30053
4886, United Kingdom,2,3.33742
4887, United Kingdom,3,4.91099
4888, United Kingdom,4,7.03514
4889, United Kingdom,5,10.0673
4890, United Kingdom,6,12.8138
4891, United Kingdom,7,14.6
4892, United Kingdom,8,14.4261
4893, United Kingdom,9,12.3639
4894, United Kingdom,10,9.29805
4895, United Kingdom,11,5.81912
4896, United Kingdom,12,3.98128
4897, Solomon Islands,1,26.2602
4898, Solomon Islands,2,25.9564
4899, Solomon Islands,3,25.8238
4900, Solomon Islands,4,25.705
4901, Solomon Islands,5,25.4961
4902, Solomon Islands,6,25.1707
4903, Solomon Islands,7,24.6831
4904, Solomon Islands,8,24.8868
4905, Solomon Islands,9,25.4483
4906, Solomon Islands,10,25.8458
4907, Solomon Islands,11,26.0028
4908, Solomon Islands,12,26.2612
4909, Pakistan,1,8.5391
4910, Pakistan,2,10.6435
4911, Pakistan,3,15.9856
4912, Pakistan,4,21.5407
4913, Pakistan,5,26.1633
4914, Pakistan,6,29.044
4915, Pakistan,7,28.8537
4916, Pakistan,8,27.6679
4917, Pakistan,9,25.281
4918, Pakistan,10,20.9058
4919, Pakistan,11,15.1604
4920, Pakistan,12,10.3005
4921, Yemen,1,18.5186
4922, Yemen,2,19.453
4923, Yemen,3,20.9441
4924, Yemen,4,23.7615
4925, Yemen,5,26.1291
4926, Yemen,6,27.954
4927, Yemen,7,27.1349
4928, Yemen,8,26.9304
4929, Yemen,9,26.2705
4930, Yemen,10,23.1572
4931, Yemen,11,20.5008
4932, Yemen,12,19.2665
4933, Liechtenstein,1,-5.09611
4934, Liechtenstein,2,-4.6776
4935, Liechtenstein,3,-1.9062
4936, Liechtenstein,4,1.17893
4937, Liechtenstein,5,5.46373
4938, Liechtenstein,6,8.67227
4939, Liechtenstein,7,10.6676
4940, Liechtenstein,8,10.4634
4941, Liechtenstein,9,7.89023
4942, Liechtenstein,10,4.0948
4943, Liechtenstein,11,-0.827104
4944, Liechtenstein,12,-3.71425
4945, Jamaica,1,23.4136
4946, Jamaica,2,23.4966
4947, Jamaica,3,24.0271
4948, Jamaica,4,24.7157
4949, Jamaica,5,25.0971
4950, Jamaica,6,25.8507
4951, Jamaica,7,25.9909
4952, Jamaica,8,26.3374
4953, Jamaica,9,25.8465
4954, Jamaica,10,25.3668
4955, Jamaica,11,24.7112
4956, Jamaica,12,24.088
4957, Saudi Arabia,1,15.4357
4958, Saudi Arabia,2,17.1158
